iter	Passed	Remaining
0	840	419630
1	1427	355481
2	2002	331733
3	2569	318609
4	3120	308889
5	3660	301400
6	4219	297161
7	4853	298466
8	5469	298412
9	6102	299011
10	6589	292946
11	7103	288875
12	7610	285093
13	8139	282549
14	8613	278503
15	9163	277181
16	9835	279451
17	10346	277056
18	10831	274208
19	11346	272326
20	11895	271321
21	12393	269266
22	12947	268521
23	13552	268785
24	14048	266917
25	14586	265929
26	15056	263766
27	15712	264861
28	16187	262912
29	16644	260766
30	17103	258752
31	17558	256797
32	18031	255179
33	18471	253172
34	18957	251863
35	19474	251005
36	19952	249676
37	20392	247935
38	20802	245901
39	21248	244359
40	21714	243091
41	22169	241757
42	22683	241072
43	23168	240110
44	23576	238380
45	24007	236943
46	24449	235647
47	24904	234515
48	25309	232953
49	25715	231438
50	26181	230498
51	26587	229063
52	27046	228113
53	27461	226812
54	27872	225517
55	28322	224556
56	28728	223278
57	29188	222433
58	29556	220919
59	29978	219844
60	30399	218778
61	30873	218108
62	31258	216823
63	31668	215739
64	32086	214730
65	32499	213708
66	32925	212790
67	33348	211863
68	33725	210659
69	34173	209920
70	34585	208975
71	35034	208261
72	35485	207565
73	35943	206918
74	36359	206038
75	36725	204887
76	37197	204343
77	37594	203395
78	38002	202518
79	38425	201734
80	38844	200937
81	39292	200297
82	39748	199701
83	40188	199028
84	40616	198304
85	41003	197391
86	41475	196889
87	41933	196326
88	42440	195989
89	42898	195428
90	43375	194949
91	43817	194320
92	44299	193872
93	44746	193266
94	45235	192847
95	45631	192031
96	46029	191234
97	46508	190780
98	46934	190107
99	47399	189598
100	47830	188952
101	48203	188086
102	48612	187370
103	49032	186700
104	49495	186196
105	49973	185751
106	50409	185149
107	50791	184355
108	51290	183987
109	51715	183355
110	52129	182687
111	52619	182287
112	53039	181647
113	53450	180982
114	53883	180393
115	54349	179915
116	54873	179629
117	55259	178889
118	55666	178225
119	56082	177594
120	56524	177047
121	56967	176506
122	57417	175987
123	57907	175591
124	58313	174939
125	58790	174504
126	59197	173862
127	59672	173422
128	60086	172807
129	60595	172464
130	61051	171970
131	61531	171541
132	61985	171042
133	62368	170351
134	62832	169881
135	63287	169388
136	63688	168752
137	64167	168322
138	64578	167719
139	64995	167130
140	65468	166689
141	65910	166168
142	66363	165677
143	66721	164950
144	67245	164635
145	67714	164184
146	68186	163741
147	68684	163358
148	69077	162726
149	69596	162391
150	70062	161931
151	70546	161513
152	70962	160941
153	71418	160460
154	71919	160079
155	72334	159507
156	72782	159008
157	73224	158499
158	73727	158121
159	74103	157470
160	74549	156970
161	74990	156462
162	75493	156080
163	75957	155621
164	76484	155287
165	77018	154965
166	77464	154464
167	77909	153963
168	78365	153484
169	78860	153081
170	79278	152530
171	79692	151972
172	80211	151614
173	80614	151036
174	81069	150558
175	81612	150241
176	82077	149780
177	82444	149141
178	82909	148681
179	83325	148134
180	83724	147558
181	84169	147065
182	84570	146495
183	85033	146036
184	85497	145577
185	85935	145074
186	86307	144461
187	86724	143925
188	87221	143523
189	87672	143044
190	88166	142636
191	88538	142030
192	88982	141541
193	89452	141094
194	89929	140658
195	90312	140076
196	90746	139573
197	91204	139109
198	91668	138654
199	92068	138102
200	92575	137711
201	93040	137258
